epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.46749,2.54289,4.93735,1.74963,0.00133,0.4,0.00111,0.00029,3.24509,6.39097,2.26378,0.0001,0.0001,0.0001
2,3.74431,2.46401,4.41315,1.77786,0.00267,0.8,0.14733,0.03576,2.38723,4.66735,2.07497,0.000217822,0.000217822,0.000217822
3,5.18696,1.93964,3.94503,1.41036,0.00267,0.8,0.1141,0.02301,2.45112,4.71556,2.09321,0.000333268,0.000333268,0.000333268
4,6.64831,2.13388,3.18531,1.47934,0.00233,0.7,0.00764,0.00203,2.65832,4.5959,2.16191,0.000446338,0.000446338,0.000446338
5,7.99623,1.9963,2.73689,1.43562,0.00233,0.7,0.02437,0.00346,2.75486,4.74415,2.1041,0.000557032,0.000557032,0.000557032
6,9.37515,2.11501,3.23053,1.48036,0.00267,0.8,0.37921,0.17541,2.5684,4.64541,2.13139,0.00066535,0.00066535,0.00066535
7,10.8375,2.51276,3.41327,1.66971,0.003,0.9,0.53791,0.14049,2.46179,4.57545,2.19597,0.000771292,0.000771292,0.000771292
8,12.2017,2.29203,2.9819,1.55339,0.003,0.9,0.58027,0.14698,2.28873,4.56198,1.85495,0.000874858,0.000874858,0.000874858
9,13.6214,2.08428,2.93718,1.48544,0.338,0.51119,0.28462,0.07667,2.14336,4.50845,1.63173,0.000976048,0.000976048,0.000976048
10,14.9568,2.10678,2.75484,1.44131,0.00293,0.5,0.11228,0.04398,2.35406,4.47332,1.62743,0.00107486,0.00107486,0.00107486
11,16.281,2.18875,3.02214,1.6404,0.00284,0.5429,0.12725,0.03717,2.33855,4.26309,1.77196,0.0011713,0.0011713,0.0011713
12,17.6872,2.22518,2.76449,1.53956,0.42252,0.2,0.23272,0.03197,2.47545,4.49588,2.08245,0.00126536,0.00126536,0.00126536
13,19.0617,2.17231,2.74026,1.60087,0.4017,0.2,0.18692,0.03368,2.70804,4.4379,2.61117,0.00135705,0.00135705,0.00135705
14,20.4542,2.09651,2.51731,1.54205,0.09395,0.2,0.0373,0.01421,2.55698,4.58287,2.37496,0.00144636,0.00144636,0.00144636
15,21.846,2.27193,3.09559,1.73776,0.05894,0.3,0.0381,0.00549,2.81746,4.49761,2.44214,0.00153329,0.00153329,0.00153329
16,23.2498,2.25405,2.65593,1.53008,0.62929,0.6,0.49733,0.11922,2.74157,3.81701,2.5968,0.00161785,0.00161785,0.00161785
17,24.5694,2.16821,2.59765,1.62878,0.41551,0.6,0.34452,0.0855,2.65238,3.74724,2.74191,0.0016832,0.0016832,0.0016832
18,25.9178,2.14017,2.66541,1.57764,0.33918,0.5,0.28645,0.07755,2.62422,4.07911,2.47337,0.0016634,0.0016634,0.0016634
19,27.2852,2.03256,2.48009,1.57245,0.06805,0.5,0.06023,0.01926,2.54095,4.3645,2.05901,0.0016436,0.0016436,0.0016436
20,28.6085,2.11822,2.4743,1.52383,0.05225,0.6,0.04846,0.01407,2.80844,4.99866,2.36086,0.0016238,0.0016238,0.0016238
21,29.9749,2.12931,2.6484,1.51092,0.0678,0.5,0.05705,0.01534,2.78451,5.39467,2.30678,0.001604,0.001604,0.001604
22,31.3386,1.91711,2.31981,1.45415,0.16018,0.6,0.13966,0.03479,2.7101,4.72925,2.18553,0.0015842,0.0015842,0.0015842
23,32.7219,1.93337,2.40659,1.4811,0.11974,0.5,0.17744,0.04242,2.75329,3.82862,2.04073,0.0015644,0.0015644,0.0015644
24,34.0474,2.02338,2.30764,1.58028,0.32107,0.6,0.33583,0.08234,2.60751,3.23905,2.15503,0.0015446,0.0015446,0.0015446
25,35.4261,2.13398,2.32086,1.58424,0.4429,0.5,0.47578,0.13976,2.50359,2.63863,1.9215,0.0015248,0.0015248,0.0015248
26,36.7896,1.92446,2.41812,1.53674,0.51407,0.74222,0.5932,0.18447,2.53942,2.64661,1.93113,0.001505,0.001505,0.001505
27,38.1898,2.03904,2.38938,1.52134,0.32018,0.6,0.34911,0.11057,2.48901,2.84112,1.88972,0.0014852,0.0014852,0.0014852
28,39.5885,2.03191,2.43125,1.45314,0.36054,0.7,0.3431,0.09989,2.56015,2.83264,2.03061,0.0014654,0.0014654,0.0014654
29,40.9476,2.14235,2.31877,1.46147,0.35011,0.7,0.4037,0.11265,2.59167,2.60999,1.9829,0.0014456,0.0014456,0.0014456
30,42.2919,1.99991,2.205,1.42653,0.57771,0.41173,0.51924,0.1398,2.48893,2.59202,1.87981,0.0014258,0.0014258,0.0014258
31,43.6291,1.94737,2.2422,1.4914,0.50827,0.4,0.53908,0.16577,2.55099,2.64808,1.97663,0.001406,0.001406,0.001406
32,44.983,1.89535,2.13241,1.39311,0.27046,0.77911,0.25925,0.08033,2.61707,2.77363,2.06435,0.0013862,0.0013862,0.0013862
33,46.316,1.76946,2.0467,1.39644,0.21074,0.66822,0.16844,0.03724,2.87788,3.39038,1.96104,0.0013664,0.0013664,0.0013664
34,47.6376,2.01232,2.23322,1.5429,0.57731,0.3,0.35232,0.08912,2.64836,3.02709,1.90965,0.0013466,0.0013466,0.0013466
35,48.9605,1.98865,2.04184,1.42838,0.41024,0.76637,0.51286,0.16313,2.46426,2.25424,1.8345,0.0013268,0.0013268,0.0013268
36,50.2868,1.92225,2.15911,1.41032,0.45943,0.42697,0.52461,0.1529,2.53999,2.45117,1.74682,0.001307,0.001307,0.001307
37,51.6197,1.91457,2.00032,1.42417,0.31919,0.5,0.456,0.17299,2.44538,2.31258,1.79224,0.0012872,0.0012872,0.0012872
38,52.9792,1.84443,2.13536,1.3425,0.33426,0.6,0.50925,0.15253,2.37297,2.1325,1.6506,0.0012674,0.0012674,0.0012674
39,54.3524,2.01834,2.06885,1.38576,0.47505,0.5,0.56947,0.2163,2.23796,2.14442,1.65129,0.0012476,0.0012476,0.0012476
40,55.7276,1.97347,2.27441,1.44652,0.47841,0.6,0.617,0.26282,2.1356,2.1718,1.71021,0.0012278,0.0012278,0.0012278
41,57.0742,1.97939,2.05205,1.395,0.65769,0.7,0.6902,0.29331,2.18701,2.14064,1.67701,0.001208,0.001208,0.001208
42,58.4137,1.80538,2.04813,1.28466,0.6268,0.7,0.68359,0.24823,2.39234,2.39119,1.75676,0.0011882,0.0011882,0.0011882
43,59.7304,1.73014,1.88656,1.33052,0.60505,0.76775,0.62238,0.23257,2.27883,2.22794,1.73358,0.0011684,0.0011684,0.0011684
44,61.0533,1.88203,1.86858,1.37013,0.43637,0.69698,0.50888,0.19194,2.41962,2.06983,1.65219,0.0011486,0.0011486,0.0011486
45,62.3848,1.89466,1.91485,1.3598,0.69857,0.4,0.53374,0.19388,2.53799,2.1194,1.71382,0.0011288,0.0011288,0.0011288
46,63.7232,1.81424,1.9289,1.46699,0.61534,0.6,0.67047,0.18138,2.61225,1.94493,1.8105,0.001109,0.001109,0.001109
47,65.0401,1.94683,1.89466,1.43657,0.77786,0.70035,0.76755,0.22364,2.63998,1.99558,2.02759,0.0010892,0.0010892,0.0010892
48,66.3858,1.75942,1.90397,1.30555,0.86184,0.6263,0.72146,0.25979,2.67096,2.05534,1.97757,0.0010694,0.0010694,0.0010694
49,67.6951,1.86807,1.77999,1.41153,0.65024,0.6,0.58863,0.20485,2.54805,2.19025,1.85119,0.0010496,0.0010496,0.0010496
50,69.0724,1.79237,1.75606,1.30438,0.52649,0.7,0.60005,0.14463,2.54871,2.14455,1.83088,0.0010298,0.0010298,0.0010298
51,70.4582,1.83763,1.73197,1.36243,0.53149,0.7,0.58779,0.13737,2.67625,2.01115,1.87018,0.00101,0.00101,0.00101
52,71.7891,1.73591,1.97738,1.36371,0.64244,0.8,0.53329,0.13891,2.57571,2.05068,1.82567,0.0009902,0.0009902,0.0009902
