epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08418,2.90931,5.0185,2.09296,0.003,0.9,0.00836,0.00358,2.08902,4.39631,1.33942,0.0001,0.0001,0.0001
2,3.57102,2.14981,4.12712,1.58016,0.003,0.9,0.11292,0.03198,2.1491,4.31427,1.58398,0.000217822,0.000217822,0.000217822
3,4.97535,2.05066,3.70345,1.43035,0.00233,0.7,0.22993,0.06622,1.94362,4.40097,1.49867,0.000333268,0.000333268,0.000333268
4,6.39695,2.06455,3.05667,1.34057,0.003,0.9,0.08888,0.0161,2.32591,4.52885,1.78963,0.000446338,0.000446338,0.000446338
5,7.82466,2.32648,3.03118,1.51312,0.003,0.9,0.12533,0.02284,2.58476,4.86798,1.8565,0.000557032,0.000557032,0.000557032
6,9.20818,2.32807,3.26009,1.52565,0.003,0.9,0.00387,0.00128,2.41951,4.84431,1.83675,0.00066535,0.00066535,0.00066535
7,10.5719,1.87934,5.67661,1.4237,0.00267,0.8,0.00296,0.00122,2.78519,5.13117,2.12811,0.000771292,0.000771292,0.000771292
8,11.946,2.24226,2.7745,1.60915,0.003,0.9,0.01173,0.00479,2.23607,4.32838,1.84962,0.000874858,0.000874858,0.000874858
9,13.315,2.20999,2.87087,1.62455,0.003,0.9,0.00743,0.00157,2.6199,5.06686,2.36874,0.000976048,0.000976048,0.000976048
10,14.6371,2.17525,2.97171,1.57074,0.003,0.9,0.0038,0.0017,2.5762,4.85099,2.03914,0.00107486,0.00107486,0.00107486
11,15.9643,2.36981,3.00746,1.6676,0.003,0.9,0.00385,0.00193,2.19882,4.76617,1.80751,0.0011713,0.0011713,0.0011713
12,17.3194,2.27143,2.7965,1.60065,0.00233,0.7,0.00297,0.00096,2.38572,4.65898,1.96454,0.00126536,0.00126536,0.00126536
13,18.6986,2.0665,2.632,1.58772,0.003,0.9,0.0053,0.00144,2.28617,4.56727,1.93771,0.00135705,0.00135705,0.00135705
14,20.0281,2.1227,2.42207,1.56779,0.003,0.9,0.45432,0.09739,2.08973,3.97748,1.97289,0.00144636,0.00144636,0.00144636
15,21.3551,2.02282,2.61643,1.66788,0.00301,0.9,0.36128,0.07324,2.19588,4.06146,2.14338,0.00153329,0.00153329,0.00153329
16,22.6849,2.11795,2.50874,1.57275,0.11531,0.1,0.20299,0.05048,2.45274,3.82883,2.06191,0.00161785,0.00161785,0.00161785
17,24.031,1.93901,2.49811,1.57481,0.64225,0.36338,0.63765,0.17421,2.27579,3.28135,1.74892,0.0016832,0.0016832,0.0016832
18,25.4655,2.01803,2.77628,1.49373,0.64071,0.36106,0.33342,0.10846,2.15347,3.65782,1.87474,0.0016634,0.0016634,0.0016634
19,26.7782,2.04701,2.36542,1.49325,0.00341,0.7,0.16484,0.07007,2.29291,3.79135,1.88179,0.0016436,0.0016436,0.0016436
20,28.0923,1.95002,2.39912,1.45858,0.30469,0.4,0.3889,0.16125,2.10478,3.61814,1.92074,0.0016238,0.0016238,0.0016238
21,29.4031,2.21169,2.47641,1.52783,0.44337,0.39846,0.31933,0.13524,2.27309,3.27189,2.09816,0.001604,0.001604,0.001604
22,30.7536,1.96556,2.44461,1.46618,0.32287,0.4,0.20333,0.09737,2.20202,3.07622,1.85075,0.0015842,0.0015842,0.0015842
23,32.053,2.01954,2.29363,1.50482,0.19963,0.2,0.0999,0.02427,2.79649,3.184,1.87566,0.0015644,0.0015644,0.0015644
24,33.4304,2.16837,2.64591,1.599,0.22175,0.5,0.21314,0.06181,2.39489,3.23559,1.89018,0.0015446,0.0015446,0.0015446
25,34.777,2.0647,2.2169,1.45131,0.38845,0.76341,0.5211,0.14188,1.90688,3.09149,1.76136,0.0015248,0.0015248,0.0015248
26,36.145,1.97491,2.27035,1.59963,0.74712,0.7,0.65306,0.2115,2.05252,3.45279,1.90904,0.001505,0.001505,0.001505
27,37.4499,2.11879,2.40145,1.59801,0.85677,0.5,0.69883,0.24336,2.16476,3.56919,2.11658,0.0014852,0.0014852,0.0014852
28,38.7812,2.12663,2.31921,1.62428,0.51911,0.6,0.5188,0.18982,2.24024,3.69531,1.89856,0.0014654,0.0014654,0.0014654
29,40.0775,2.05315,2.21577,1.50765,0.49087,0.6,0.45112,0.17155,2.16742,2.97683,1.84681,0.0014456,0.0014456,0.0014456
30,41.3855,2.13212,2.19981,1.49486,0.50633,0.8,0.61179,0.2341,2.23846,2.75276,1.65267,0.0014258,0.0014258,0.0014258
31,42.7278,1.91029,2.38122,1.42811,0.51449,0.7,0.69148,0.31448,2.07595,2.60417,1.64894,0.001406,0.001406,0.001406
32,44.0593,1.85987,2.1598,1.45228,0.67967,0.5,0.62682,0.24844,2.17353,2.64831,1.66997,0.0013862,0.0013862,0.0013862
33,45.3587,2.06663,2.22518,1.49538,0.53803,0.69889,0.62621,0.18985,2.23357,2.6905,1.73837,0.0013664,0.0013664,0.0013664
34,46.6846,2.09351,2.22303,1.60029,0.58102,0.7,0.76287,0.22644,2.08839,2.38596,1.61474,0.0013466,0.0013466,0.0013466
35,47.9731,2.09481,2.08051,1.54167,0.60557,0.6,0.57658,0.19574,2.1278,2.34947,1.63072,0.0013268,0.0013268,0.0013268
36,49.307,1.9325,2.05206,1.42141,0.59632,0.8,0.6499,0.1933,2.08358,2.20306,1.61897,0.001307,0.001307,0.001307
37,50.7308,1.96449,1.99182,1.45411,0.66877,0.8,0.7669,0.24041,2.02085,2.11377,1.61258,0.0012872,0.0012872,0.0012872
38,52.0758,1.82902,1.98864,1.43778,0.65103,1,0.80167,0.23723,2.02975,1.89305,1.60789,0.0012674,0.0012674,0.0012674
39,53.3966,2.04817,1.95994,1.45392,0.4855,0.75649,0.59241,0.21781,1.87994,1.94201,1.56309,0.0012476,0.0012476,0.0012476
40,54.7139,2.03492,2.03874,1.48633,0.50809,0.7,0.56748,0.21655,2.01825,2.0737,1.62655,0.0012278,0.0012278,0.0012278
41,56.0274,1.88991,2.073,1.35914,0.43857,0.7,0.53316,0.19341,2.1456,2.03617,1.64256,0.001208,0.001208,0.001208
42,57.3569,1.96565,2.16513,1.37127,0.53293,0.8,0.67509,0.2441,2.13264,1.9719,1.61936,0.0011882,0.0011882,0.0011882
43,58.6701,1.87504,2.123,1.44382,0.6188,0.8,0.76037,0.28401,2.13494,1.96663,1.53644,0.0011684,0.0011684,0.0011684
44,59.9793,1.86639,1.93282,1.33766,0.71233,0.7,0.74728,0.24981,2.23098,2.08721,1.68676,0.0011486,0.0011486,0.0011486
45,61.2784,1.8574,1.98786,1.40909,0.80378,0.9,0.85239,0.26102,2.17093,1.98589,1.64735,0.0011288,0.0011288,0.0011288
46,62.6355,1.85109,1.86928,1.37941,0.81671,0.8919,0.86065,0.34796,2.05564,1.80489,1.6382,0.001109,0.001109,0.001109
47,63.9661,1.86969,1.82188,1.3815,0.86891,0.6659,0.8075,0.40615,1.93516,1.51182,1.64893,0.0010892,0.0010892,0.0010892
48,65.295,1.89554,1.89533,1.40525,0.68979,0.7,0.76076,0.38165,1.90826,1.51943,1.57123,0.0010694,0.0010694,0.0010694
49,66.6694,1.99226,2.04659,1.41942,0.7005,0.93726,0.80143,0.37965,1.89278,1.5381,1.55714,0.0010496,0.0010496,0.0010496
50,68.0197,1.7895,1.72046,1.28704,0.72289,1,0.88027,0.33728,1.92318,1.70384,1.5931,0.0010298,0.0010298,0.0010298
51,69.3204,1.70652,1.76483,1.30395,0.63641,0.87652,0.81167,0.33302,1.95325,1.65628,1.57182,0.00101,0.00101,0.00101
52,70.6599,1.83325,1.82612,1.32799,0.62006,0.8,0.71444,0.32207,1.92645,1.7551,1.54807,0.0009902,0.0009902,0.0009902
53,71.9811,1.70816,1.81954,1.37754,0.57395,0.94448,0.75216,0.3384,1.77428,1.70314,1.51816,0.0009704,0.0009704,0.0009704
54,73.2973,1.8643,1.73282,1.26184,0.497,0.8,0.55356,0.3021,1.74007,1.76078,1.53736,0.0009506,0.0009506,0.0009506
55,74.6365,1.85315,1.73184,1.33684,0.67181,0.82005,0.69287,0.32795,1.67347,1.83766,1.53969,0.0009308,0.0009308,0.0009308
56,75.9355,1.72659,1.53306,1.25918,0.71998,0.9,0.72833,0.34079,1.68331,1.83213,1.54213,0.000911,0.000911,0.000911
57,77.2476,1.97648,1.82725,1.35608,0.62401,0.83141,0.66167,0.26192,1.82562,1.83128,1.61544,0.0008912,0.0008912,0.0008912
58,78.5874,1.69889,1.61636,1.41853,0.58977,0.8,0.69223,0.23683,1.80717,1.94908,1.56145,0.0008714,0.0008714,0.0008714
