epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,126.67,1.79597,1.40519,1.37448,0.67335,0.92805,0.80831,0.34823,1.77372,1.25293,1.50102,0.0011684,0.0011684,0.0011684
44,129.594,1.68795,1.40274,1.36676,0.63558,0.85,0.76095,0.24928,2.28464,1.46958,1.69696,0.0011486,0.0011486,0.0011486
45,132.565,1.77286,1.38147,1.42897,0.6573,0.76769,0.79776,0.29398,2.21912,1.39916,1.67419,0.0011288,0.0011288,0.0011288
46,135.433,1.70351,1.39066,1.43096,0.61631,0.96406,0.81086,0.3123,1.89922,1.22253,1.46619,0.001109,0.001109,0.001109
47,138.32,1.68119,1.35116,1.32216,0.7748,0.95,0.8475,0.36189,1.9125,1.16567,1.63124,0.0010892,0.0010892,0.0010892
48,141.178,1.73794,1.31883,1.36977,0.7434,0.9,0.80851,0.31105,1.96981,1.31813,1.64478,0.0010694,0.0010694,0.0010694
49,144.06,1.65341,1.36409,1.32673,0.89779,0.9,0.9183,0.35807,1.87653,1.20443,1.47246,0.0010496,0.0010496,0.0010496
50,146.964,1.66638,1.32826,1.31564,0.62157,0.85,0.68774,0.33677,1.81503,1.29386,1.54013,0.0010298,0.0010298,0.0010298
51,149.812,1.68558,1.27173,1.30541,0.69943,0.85,0.77319,0.38293,1.76395,1.26602,1.49549,0.00101,0.00101,0.00101
52,152.719,1.62256,1.29729,1.33669,0.8118,0.86312,0.87014,0.41376,1.80954,1.10442,1.47485,0.0009902,0.0009902,0.0009902
53,155.689,1.70167,1.27941,1.38297,0.78495,0.85,0.86019,0.47696,1.59511,1.0475,1.4351,0.0009704,0.0009704,0.0009704
54,158.598,1.62514,1.22235,1.30665,0.84056,0.79122,0.8516,0.46518,1.56852,1.13831,1.34237,0.0009506,0.0009506,0.0009506
55,161.565,1.67911,1.28401,1.33996,0.86322,0.95,0.93772,0.44562,1.73014,1.20811,1.38416,0.0009308,0.0009308,0.0009308
56,164.449,1.72849,1.30047,1.35811,1,0.9179,0.99045,0.45635,1.77184,1.16001,1.40977,0.000911,0.000911,0.000911
57,167.328,1.7087,1.2927,1.35714,0.82585,0.94853,0.95708,0.40077,1.73536,1.24251,1.49719,0.0008912,0.0008912,0.0008912
58,170.188,1.59564,1.28794,1.30601,0.81977,1,0.93351,0.46611,1.57896,1.13981,1.39483,0.0008714,0.0008714,0.0008714
59,173.14,1.65152,1.33228,1.34231,0.85689,0.85,0.8942,0.4077,1.65036,1.0845,1.39333,0.0008516,0.0008516,0.0008516
60,176.001,1.64053,1.24309,1.36273,0.93777,0.85,0.89873,0.43933,1.61949,1.03941,1.30848,0.0008318,0.0008318,0.0008318
61,178.854,1.69243,1.26945,1.36009,0.77359,0.95,0.90901,0.46379,1.64074,1.07649,1.41181,0.000812,0.000812,0.000812
62,181.744,1.62355,1.23664,1.36359,0.74954,0.9,0.83653,0.2447,2.24538,1.23284,1.47661,0.0007922,0.0007922,0.0007922
63,184.604,1.67882,1.26358,1.34368,0.74123,0.85968,0.87959,0.41277,1.78588,1.15403,1.43005,0.0007724,0.0007724,0.0007724
64,187.579,1.65138,1.27171,1.33302,0.78872,0.95,0.8969,0.46031,1.76411,1.13568,1.44714,0.0007526,0.0007526,0.0007526
65,190.455,1.54193,1.22173,1.2997,0.77404,0.8,0.80902,0.41479,1.86785,1.12124,1.45094,0.0007328,0.0007328,0.0007328
66,193.332,1.6704,1.20982,1.30989,0.86023,0.8,0.84508,0.34757,1.99886,1.14101,1.41333,0.000713,0.000713,0.000713
67,196.197,1.54993,1.15761,1.28591,0.88952,0.9,0.92063,0.32363,2.05319,1.203,1.41225,0.0006932,0.0006932,0.0006932
68,199.095,1.61632,1.15961,1.3067,0.80002,0.80012,0.85974,0.40192,1.94361,1.17169,1.43842,0.0006734,0.0006734,0.0006734
69,201.966,1.57715,1.20268,1.29216,0.81173,0.8,0.85822,0.40697,1.85677,1.22661,1.44379,0.0006536,0.0006536,0.0006536
70,204.835,1.49445,1.09282,1.22315,0.88281,0.85,0.86486,0.42025,1.81826,1.14586,1.44937,0.0006338,0.0006338,0.0006338
71,207.766,1.48927,1.09348,1.26818,0.89423,0.84566,0.88539,0.40398,1.86604,1.08392,1.37019,0.000614,0.000614,0.000614
72,210.71,1.55721,1.13736,1.23561,0.86478,0.85,0.92883,0.45224,1.75151,1.03297,1.31836,0.0005942,0.0005942,0.0005942
73,213.594,1.45323,1.08235,1.20327,0.7608,1,0.95206,0.46653,1.64205,0.99945,1.3054,0.0005744,0.0005744,0.0005744
74,216.464,1.49498,1.14577,1.22823,0.74199,0.95,0.87727,0.3721,1.71493,1.06415,1.33714,0.0005546,0.0005546,0.0005546
75,219.328,1.54201,1.11399,1.24977,0.81785,0.89806,0.8702,0.40247,1.66936,1.03997,1.31283,0.0005348,0.0005348,0.0005348
76,222.188,1.56629,1.18894,1.23537,0.75356,0.9,0.87286,0.43813,1.57254,1.03448,1.29192,0.000515,0.000515,0.000515
77,225.079,1.472,1.11462,1.17285,0.78549,0.95,0.93788,0.44838,1.66284,1.08359,1.34174,0.0004952,0.0004952,0.0004952
78,227.949,1.48629,1.11847,1.24048,0.87724,0.9,0.95723,0.45484,1.63206,1.06966,1.33531,0.0004754,0.0004754,0.0004754
79,230.866,1.47005,1.10698,1.21602,0.85241,0.9,0.95696,0.43824,1.63549,1.08134,1.33099,0.0004556,0.0004556,0.0004556
80,233.806,1.4791,1.1185,1.2355,0.84956,0.85,0.92747,0.40133,1.70427,1.09191,1.32581,0.0004358,0.0004358,0.0004358
81,236.707,1.44499,1.10951,1.26269,0.81831,0.90083,0.96282,0.43126,1.62457,1.01892,1.28297,0.000416,0.000416,0.000416
82,239.742,1.51584,1.09693,1.2496,0.85657,0.9,0.91917,0.46733,1.61389,0.99217,1.28522,0.0003962,0.0003962,0.0003962
83,242.746,1.38592,1.06002,1.19714,0.82418,0.8,0.85891,0.44336,1.57937,0.98774,1.29434,0.0003764,0.0003764,0.0003764
